Scores (Cross val k = 10)/Models,Decision Tree,Logistic Regression,Neural Network,Random Forest,Support Vector Machine
Cross Val 1,0.79 (± 0.08),0.66 (± 0.07),0.79 (± 0.10),0.81 (± 0.08),0.65 (± 0.06)
Accuracy 1,0.99,0.73,0.99,0.99,0.73
Cross Val 2,0.79 (± 0.09),0.66 (± 0.07),0.79 (± 0.10),0.79 (± 0.09),0.65 (± 0.06)
Accuracy 2,0.99,0.73,0.99,0.99,0.73
Cross Val 3,0.79 (± 0.07),0.66 (± 0.07),0.79 (± 0.10),0.80 (± 0.06),0.65 (± 0.06)
Accuracy 3,0.99,0.73,0.99,1,0.73
Cross Val 4,0.79 (± 0.09),0.66 (± 0.07),0.79 (± 0.10),0.80 (± 0.09),0.65 (± 0.06)
Accuracy 4,1,0.74,0.99,0.99,0.73
Cross Val 5,0.79 (± 0.09),0.66 (± 0.07),0.79 (± 0.10),0.79 (± 0.08),0.65 (± 0.06)
Accuracy 5,0.99,0.74,0.99,1,0.73
